,Spit,Approx.Depth..cm.,Ages.kya,OSL,C14,Sediment..kg.,Rocks.Rubble..kg.,Shell..g.,Haematite.Ochre..g.,Local.Coarse.Grained.Quartzite,Fine.Grained.Exotic.Quartzite,Quartz,Crystal.Quartz,Sandstone,Siltstone,Silcrete,Brown.Quartzite,Volcanic.Stone,Highly.Weathered,Oenpelli.Dolerite,Chert,Schist,Mica,Ground.Ochre.Haemetite,Axe.Flake.Frag,Ochre.Stained.Grindstone,Silcon,Bifacial.Point,Grindstone,Ochred.Exfoliation.from.Wall,Yellow.Ochre,Bipolar,Biface,Hammerstone,Redirecting.Flakes,Cores,Retouched,Total.Artefacts
28,35,206,24,NA,24,229.5,0.9,0,222.3,7,NA,100,1,NA,NA,NA,NA,3,NA,NA,1,1,NA,6,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
29,34,196,,NA,NA,165.5,1.4,0,130.5,26,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,127
30,33,190,,NA,NA,104.5,1.1,0,28,14,NA,50,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
31,32,184,,NA,NA,178,1.6,0,329.1,13,1,122,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,137
32,31,178,24.9,NA,24.9,125.5,0.7,0,59.7,9,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,,,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,139
33,30,172,,NA,NA,143.5,0.4,0,16,6,NA,118,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,1,,,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,134
34,29,164,,NA,NA,NA,NA,NA,0,11,NA,19,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,,,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,35
35,28,158,18.4,NA,18.4,226.6,1.5,0,142.4,NA,NA,257,15,NA,NA,NA,NA,6,NA,1,5,NA,NA,1,,1,NA,NA,NA,NA,NA,5,NA,NA,NA,1,1,285
36,27,153,15,NA,15,110.2,1.6,0,49.8,4,NA,135,5,NA,NA,2,NA,3,NA,NA,2,NA,NA,NA,1, ,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,155
37,26,147,16.7,NA,16.7,128.9,1.3,0,80.7,13,10,111,7,NA,NA,1,NA,7,NA,NA,9,NA,NA,2,1?,,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,160
38,25,139,,NA,NA,136.6,0.7,0,79.1,14,4,109,1,1,3,5,NA,1,NA,NA,8,NA,NA,NA,,1?,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,146
39,24,133,,NA,NA,225.1,2.1,0,137.5,18,12,144,NA,NA,NA,3,NA,1,NA,NA,6,NA,NA,11,1?,,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,196
40,23,128,,NA,NA,103.5,0.6,0,95.9,3,1,95,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
41,22,120,,NA,NA,184.2,0.9,0,86.5,9,3,94,NA,NA,NA,1,NA,4,NA,2,3,NA,NA,2,1,,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,120
42,21,113,12.5,NA,12.5,203.04,1.2,0,159.6,16,2,127,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,4,1,,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,157
43,20,106,,NA,NA,168.7,0.5,0,44.2,1,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,3,1,NA,NA,NA,NA,1,85
44,19,100,,NA,NA,84.6,0.4,0,15.9,12,2,92,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,,,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,111
45,18,93,8.4,NA,8.4,71.1,0.3,1,21.6,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,58
46,17,87,,NA,NA,71.1,0.2,21.9,43.4,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
47,16,82,,NA,NA,57.5,0.3,46.4,13.4,1,1,64,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
48,15,74,,NA,NA,55.5,0.3,91.1,23.3,7,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
49,14,68,,NA,NA,66.6,0.7,146.9,24.1,1,NA,85,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,90
50,13,64,,NA,NA,51.5,0.6,233.9,0,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,,,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,96
51,12,59,7.3,NA,7.3,47.5,0.7,488.3,4.7,8,NA,90,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,101
52,11,54,,NA,NA,44.8,0.4,531.3,9.1,4,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,115
